Dates,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,CTXS,DLTR,DXCM,EA,EBAY,EXC,EXPE,FAST,FB,FISV,GILD,GOOG,GOOGL,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,XEL,XLNX
2017/1/3,110.6911545,103.4800034,67.76476288,96.56677246,76.18000031,96.95999908,122.6299973,30.40638924,11.43000031,137.2614441,753.6699829,93.34999847,106.134903,35.70670319,160.4295654,168.3000031,291.7099915,1477.569946,85.83999634,25.34000015,49.68107605,48.8814888,84.56999969,285.769989,32.35724258,148.3837433,27.86000061,27.36728096,186.1499939,34.28271484,112.6652985,54.55620956,70.32129669,77.44999695,58.25,79.16999817,29.26177597,31.59228134,108.642746,21.33515739,116.8600006,53.66999817,66.63775635,786.1400146,808.0100098,117.5999985,131.1300049,102.3199997,33.7077713,111.1464462,213.9299927,25.81999969,75.93357849,73.27240753,30.64999962,29.79999924,100.9193268,66.84999847,79.0401535,60.41230392,41.86722565,160.6457062,45.54000092,59.13328934,22.54999924,34.87878036,127.4899979,32.66096878,206.3687286,100.8768234,95.56303406,280.8200073,55.15729523,57.09015274,95.0508728,40.25,57.91537476,379.7000122,63.45191574,51.88925552,53,4.331205845,59.36999893,52.5,71.35321045,40.49000168,58.31999969,216.9900055,49.22000122,67.55444336,72.70999908,256.6799927,80.61100769,77.30999756,74.88999939,76.34469604,68.37999725,62.20682907,117.3964539,36.8462677,55.67334747
2017/1/4,110.567276,104.1399994,67.62457275,96.71604919,77.51999664,97.76999664,127.1100006,30.69198608,11.43000031,139.2102356,757.1799927,94.44000244,105.625618,36.40835571,159.2870941,171.9600067,294.0499878,1487.290039,86.87000275,25.56999969,50.49077606,47.42692184,84.91999817,291.5499878,32.74150085,148.4116364,28.22999954,27.20459747,190.8000031,34.98958206,113.6241837,55.32840347,70.43052673,79.44999695,60.72000122,80.62999725,29.18332672,31.86161232,109.8988342,21.43512535,118.6900024,54.32500076,68.6325531,786.9000244,807.7700195,115.9499969,135.1799927,102.8399963,33.53278351,111.3692169,209.8300018,25.85000038,75.49983215,73.01406097,31.35000038,30.31999969,100.9757767,69.41000366,78.88685608,60.38391876,41.82055664,165.4345703,46.02000046,58.86870956,22.36000061,35.24906921,129.4100037,32.91021347,206.8795013,103.2303696,96.18928528,282.1099854,55.36506653,57.87675095,95.23251343,41,57.97735977,383.1099854,64.36100769,52.48923874,55.20999908,4.419000149,59.56999969,54.84000015,71.20127106,41.34000015,58.81999969,226.9900055,50.13999939,67.47180176,73.01999664,260.9200134,81.24542999,78.95999908,77.05000305,76.36312103,71.36000061,63.20137787,118.8443909,37.00954056,55.26808167
2017/1/5,111.1295624,105.9100037,66.6526413,96.13756561,76.93000031,94.81999969,139.1799927,30.55870819,11.23999977,139.3104095,780.4500122,94.70999908,106.8940506,36.97359085,156.777298,177.4700012,293.5700073,1503.699951,86.29000092,25.65999985,49.99917603,47.1498642,86.66000366,296.1700134,32.87271118,151.3378601,28.20000076,27.26786232,191.4700012,35.33345795,112.6265411,55.10639954,70.40713501,78.05999756,62.65999985,78.95999908,29.42848015,31.8705883,110.8167648,21.1851902,120.6699982,54.30500031,68.3000946,794.0200195,813.0200195,115.9599991,134.5599976,104.8099976,33.47751236,112.0569305,210.9700012,26.29999924,75.06607819,72.35894012,32.31999969,31.10000038,100.7499619,68.73000336,78.35035706,59.22013474,42.00724792,170.8818817,46.18999863,58.86870956,22.11000061,34.71622086,131.8099976,32.64250183,216.8214874,100.6098328,96.28714752,282.8099976,54.96760178,56.93283081,95.10536194,41.06000137,58.04821396,380.9200134,63.52929306,52.92984772,54.86999893,4.526304722,59.79000092,54.56000137,70.80249786,42.79999924,57.61000061,226.75,49.36000061,66.9484787,70.93000031,264.1400146,80.94804382,79.80000305,79.05999756,76.40912628,72.27999878,63.21034241,119.9874802,37.00954056,54.59890366
2017/1/6,112.3684692,108.3000031,66.91430664,96.20290375,79.30000305,94.08000183,143.6100006,30.50158882,11.31999969,142.7708588,795.9899902,93.94999695,106.7787399,36.9443512,158.8553009,176.3800049,295,1520.569946,86.84999847,25.64999962,49.82566452,47.05090714,87.23999786,298.1600037,32.92894363,151.2635498,28.34000015,27.32209015,191.7700043,35.83972549,113.0333557,55.85928726,71.00790405,77.08999634,63.22999954,79.01000214,30.44832802,32.39128494,112.5173187,21.13520432,123.4100037,54.91500092,67.83283234,806.1500244,825.210022,118.3600006,141.4900055,108.3099976,33.59725952,113.5238113,212.0366669,26.27000046,74.87522125,73.01406097,33.34000015,32.09999847,101.2392349,68.26999664,78.84854126,60.25146103,42.06326294,171.7598267,45.61999893,59.3789711,22.04000092,35.89029312,131.0700073,32.52249146,214.6930847,101.9547195,96.10122681,281.7799988,55.34700394,57.5795784,94.96910095,41.45000076,58.03049088,358.6799927,63.16179276,53.5579567,57.54999924,4.448264122,60,56.16999817,71.17279053,42.5,56.77000046,229.0099945,49.95000076,68.07776642,71.37000275,263.2999878,81.66175842,80.84999847,79.38999939,76.47354889,73.84999847,63.05801392,120.7686005,37.11839676,55.65449905
2017/1/9,113.3976974,108.5699997,67.23207092,95.60577393,79.58999634,94.79000092,144.7700043,31.20605659,11.48999977,144.646759,796.9199829,94.29000092,108.0952148,36.73970413,159.1971588,177.1600037,299.019989,1529.640015,91.02999878,25.71999931,49.32441711,47.48629379,87.19999695,296.2600098,33.19136047,149.535675,28.26499939,27.27689934,192.4299927,35.33345795,111.8516846,54.61411285,70.83625793,77.13999939,62.49000168,78.63999939,30.15414238,31.66409683,113.3386154,20.98070145,124.9000015,54.04999924,68.14733124,806.6500244,827.1799927,119.0199966,141.5399933,118.5299988,33.71697998,113.1837921,213.7666626,26.26000023,74.66703033,73.43849945,33.79000092,32.70000076,102.424736,68.19000244,78.80064392,60.95161819,41.7178688,173.7052917,44.40000153,59.18998718,22.34000015,36.7121315,130.9499969,32.52249146,222.203949,106.088295,96.00337982,279.3999939,55.12117004,56.87163544,93.97000885,41.40000153,58.13676834,355.0599976,63.29718018,54.56105804,58.81000137,4.48728466,60.08000183,55.68999863,71.82794189,43.24000168,56.66999817,231.2799988,50.45999908,68.25221252,71.27999878,260.7900085,81.0174408,81.81999969,82.86000061,75.96740723,74.76000214,64.3840332,120.0351181,36.55599976,55.66392899
2017/1/10,113.5120697,108.2600021,67.61522675,95.35385132,79.98000336,96.12999725,143.6699982,31.53925323,11.43999958,144.5739288,795.9000244,94.19000244,108.2489624,37.40237808,162.4355927,180.3099976,297.7900085,1535.25,90.40000153,25.77000046,50.35582733,48.75285721,88.20999908,298.2000122,33.23352814,150.1766663,28.35499954,27.45766068,194.1999969,35.74419022,111.1736755,54.69133759,70.72701263,77.95999908,67.04000092,78.84999847,29.66383171,31.47557449,113.6478119,21.13520432,124.3499985,54.11500168,67.4015274,804.789978,826.0100098,120.7099991,165.0399933,119.3000031,33.65251541,112.7952271,220.7333374,26.89999962,74.52822876,73.19859314,34.00999832,32.70999908,102.0578003,69.90000153,78.4940567,61.35847092,41.23244476,177.3767395,43.5,59.17108536,22.47999954,36.9288826,129.8899994,32.54095078,227.0093536,105.2872772,96.5121994,281.2999878,54.93146896,57.90296936,92.61669922,41.08000183,58.11904144,373,64.57377625,54.26107407,59.00999832,4.516549587,60.68999863,56.18000031,73.40406036,43.70999908,58.74000168,229.8699951,50.81000137,68.49091339,73.66000366,262.5,81.54281616,79.25,82.93000031,76.07782745,74.34999847,63.47014618,120.2351532,36.54692459,55.16440582
2017/1/11,114.1219864,108.9899979,67.86756897,96.28686523,80.87000275,96,136.6600037,31.86293602,11.19999981,142.6251526,799.0200195,93.69999695,109.0465317,38.20149612,161.4010773,179.3200073,287.1099854,1536.109985,86.06999969,26.11000061,51.04986572,49.97983551,88.48999786,299.5400085,33.60374069,150.0651703,28.65500069,27.24979019,198.1900024,36.33643723,111.6967087,55.02917099,71.44482422,77.80999756,69.02999878,79.01999664,29.82073021,31.77183914,113.242012,21.55327988,126.0899963,54.27000046,66.28730774,807.9099731,829.8599854,121.1200027,162.3500061,115.2900009,34.03011322,113.057518,226.0533295,26.77000046,75.26560211,74.06594849,34.90999985,33.36999893,102.5470581,69.40000153,79.36590576,62.90071487,42.07259369,176.3391571,43.99000168,59.70968628,22.79000092,36.75728607,130.5,32.91021347,226.3377533,103.9918213,96.36542511,281.3299866,55.23860168,58.38368225,92.47135925,41.27999878,58.53525925,364.4700012,64.36100769,54.46731567,55.79999924,4.477529526,60.90999985,57.68000031,74.44850922,43.97000122,57.45999908,229.7299957,51.11000061,69.04176331,75.04000092,262.1499939,82.02854156,80.90000153,81.93000031,77.69750214,81.69999695,64.01668549,119.7874451,36.90976334,55.13611984
2017/1/12,113.6454544,108.5899963,67.4937439,96.84667969,80.65000153,95.55000305,137.3500061,31.71061134,10.76000023,141.4777222,813.6400146,93.88999939,110.2861481,38.13327789,160.8973694,177.5700073,287.769989,1538.589966,86.16000366,25.94000053,50.83780289,50.77144241,89.19000244,297.1900024,33.46783829,150.3717651,28.42000008,27.15036964,197.6999969,36.66120529,110.8056183,55.00986862,71.078125,77.52999878,67.61000061,79.59999847,29.76189232,31.81671906,114.0246353,21.81229782,126.6200027,54.70999908,65.91889191,806.3599854,829.5300293,120.6399994,162.8399963,117.5500031,33.80907822,113.6986771,221.6266632,26.61000061,75.83817291,73.90905762,34.91999817,33.40000153,101.7755127,68.62000275,78.45574951,62.90071487,41.90456009,172.7874451,43.11000061,59.16163635,22.30999947,36.54957199,129.1799927,33.05791855,222.7052765,102.290947,96.18928528,281.5799866,55.41024017,57.97290039,92.49860382,41.56000137,58.55298233,364.4400024,64.39968109,54.40168381,58.86000061,4.467775822,60.88000107,56.33000183,72.87236023,43.36000061,57.15000153,229.5899963,50.86999893,68.72042847,74,260.9500122,81.60228729,81,82.38999939,77.22815704,80.12000275,63.38952637,119.7683792,37.05490112,54.69315338
2017/1/13,113.445343,108.5299988,67.91430664,96.81867981,81.31999969,96.01000214,136.9299927,32.16755676,10.57999992,142.1698151,817.1400146,94.02999878,110.795433,37.95785904,162.3276367,176.4799957,284.75,1545.819946,86.91999817,26.06999969,51.3004837,50.8110199,90.70999908,298.4299927,34.10046005,150.362442,28.70000076,27.1774807,201.1100006,37.06239319,110.9605942,54.55620956,71.62427521,77.12999725,85.12999725,80.34999847,29.70305634,31.81671906,114.7976303,21.83502007,128.3399963,55.15000153,65.6583252,807.8800049,830.9400024,120.8000031,162.5700073,117.75,33.88275528,113.7569733,221.5700073,26.84000015,75.49983215,75.14551544,34.97999954,33.59000015,104.0054245,67.91999817,79.17428589,62.7682457,41.6338501,176.039856,44.50999832,59.24668503,22.18000031,37.45269394,133.6999969,33.16869736,224.8336639,102.2810516,96.26757813,279.1499939,55.527668,59.01295853,92.23522186,41.59999847,59.22600937,368.1600037,64.72850037,54.23295212,59.11999893,4.497040272,61.34000015,56.41999817,74.37254333,43.52999878,57.18999863,237.75,51.61000061,68.8581543,74.31999969,261.3999939,81.90959167,80.80000305,83.16999817,77.13613892,80.88999939,63.61351776,118.8158112,36.87348938,55.1455574
2017/1/17,114.3602371,108,67.54981995,96.16558075,78.62000275,95.33999634,135.3000031,31.70109749,9.819999695,140.9677734,809.7199707,93.5,111.3816071,37.95785904,161.1222229,176.9600067,283.0100098,1540.130005,85.20999908,25.79999924,50.78959274,51.98853683,90.38999939,306.1400146,34.00205231,152.1739044,28.27499962,27.10517502,199.1100006,36.38418579,110.0985489,54.61411285,70.92208099,79.51000214,85.48999786,80.23000336,29.70305634,32.21173859,114.575386,21.93044472,127.8700027,55.22000122,64.6159668,804.6099854,827.460022,120.0100021,160.4700012,113.6399994,33.89196014,112.775795,221.2466736,27.20999908,76.27191925,73.81681061,34.68999863,33.36999893,102.6505661,68.77999878,78.92519379,61.45307922,41.91389847,177.6361389,43.93999863,59.08604431,21.73999977,36.78437805,132.8899994,32.82713318,229.9418335,99.98682404,95.52388,278.7600098,54.96760178,58.48854828,92.81651306,41.27000046,56.84385681,363.2399902,64.91226196,54.37356567,57.72000122,4.458019733,60.74000168,53.29999924,73.00528717,44.16999817,57.04999924,235.5800018,51.40000153,68.38991547,73.73999786,263.0599976,80.83901215,80.30999756,81.55000305,77.50424194,80.98999786,64.16901398,119.387352,37.37238312,54.41041183
